,ip,type,subtype
120,10.197.204.22,Internal,Class A
121,10.12.50.51,Internal,Class A
122,10.127.13.21,Internal,Class A
123,10.196.86.65,Internal,Class A
124,10.199.224.10,Internal,Class A
125,10.196.143.244,Internal,Class A
126,10.200.44.40,Internal,Class A
127,10.196.88.46,Internal,Class A
128,10.197.202.13,Internal,Class A
129,10.197.86.36,Internal,Class A
130,183.54.157.216,External,External
131,10.197.86.15,Internal,Class A
132,10.197.88.6,Internal,Class A
133,10.197.76.6,Internal,Class A
134,10.200.105.88,Internal,Class A
135,10.196.78.84,Internal,Class A
136,10.201.45.79,Internal,Class A
137,10.12.50.141,Internal,Class A
138,10.195.202.36,Internal,Class A
139,10.197.208.92,Internal,Class A
140,10.0.11.142,Internal,Class A
141,10.196.144.11,Internal,Class A
142,10.196.142.19,Internal,Class A
143,10.197.90.96,Internal,Class A
144,10.197.208.4,Internal,Class A
145,10.197.206.34,Internal,Class A
146,10.200.105.77,Internal,Class A
147,192.168.178.13,Internal,Class C
148,10.197.208.21,Internal,Class A
149,10.196.74.13,Internal,Class A
150,10.197.88.22,Internal,Class A
151,10.0.11.155,Internal,Class A
152,10.0.11.83,Internal,Class A
153,10.0.11.122,Internal,Class A
154,10.196.224.21,Internal,Class A
155,10.196.136.20,Internal,Class A
156,10.12.30.172,Internal,Class A
157,10.127.12.154,Internal,Class A
158,10.200.46.33,Internal,Class A
159,10.197.137.92,Internal,Class A
160,10.196.136.23,Internal,Class A
161,10.197.90.50,Internal,Class A
162,10.196.88.58,Internal,Class A
163,10.0.11.98,Internal,Class A
164,192.168.198.28,Internal,Class C
165,10.196.84.21,Internal,Class A
166,10.197.88.26,Internal,Class A
167,10.0.11.205,Internal,Class A
168,10.197.208.91,Internal,Class A
169,10.197.206.70,Internal,Class A
170,10.197.78.62,Internal,Class A
171,10.197.80.31,Internal,Class A
172,10.200.44.53,Internal,Class A
173,10.127.11.4,Internal,Class A
174,10.197.78.51,Internal,Class A
175,10.196.142.35,Internal,Class A
176,10.197.207.252,Internal,Class A
177,10.197.208.73,Internal,Class A
178,192.168.180.24,Internal,Class C
179,10.0.11.146,Internal,Class A
180,192.168.195.122,Internal,Class C
181,10.196.136.138,Internal,Class A
182,192.168.188.119,Internal,Class C
183,10.197.206.33,Internal,Class A
184,192.168.142.12,Internal,Class C
185,10.196.96.20,Internal,Class A
186,192.168.198.66,Internal,Class C
187,10.200.105.187,Internal,Class A
188,10.12.50.196,Internal,Class A
189,192.168.148.79,Internal,Class C
190,10.197.206.43,Internal,Class A
191,192.168.142.11,Internal,Class C
192,10.0.11.97,Internal,Class A
193,192.168.190.106,Internal,Class C
194,10.197.206.117,Internal,Class A
195,10.197.90.102,Internal,Class A
196,10.0.11.152,Internal,Class A
197,10.197.204.60,Internal,Class A
198,10.195.202.50,Internal,Class A
199,10.0.11.134,Internal,Class A
200,10.129.235.33,Internal,Class A
201,191.17.26.118,External,External
202,10.196.82.14,Internal,Class A
203,10.196.16.16,Internal,Class A
204,10.127.13.152,Internal,Class A
205,10.200.47.27,Internal,Class A
206,192.168.192.206,Internal,Class C
207,10.129.42.21,Internal,Class A
208,10.195.202.34,Internal,Class A
209,10.196.166.101,Internal,Class A
210,10.197.208.78,Internal,Class A
211,10.200.105.54,Internal,Class A
212,10.196.150.68,Internal,Class A
213,192.168.148.110,Internal,Class C
214,10.197.74.10,Internal,Class A
215,10.196.88.130,Internal,Class A
216,10.196.150.80,Internal,Class A
217,10.98.106.145,Internal,Class A
218,192.168.188.46,Internal,Class C
219,10.197.137.41,Internal,Class A
220,10.197.204.66,Internal,Class A
221,10.0.11.28,Internal,Class A
222,10.196.78.56,Internal,Class A
223,10.196.166.167,Internal,Class A
224,10.196.90.2,Internal,Class A
225,10.197.90.202,Internal,Class A
226,10.0.11.164,Internal,Class A
227,10.196.137.150,Internal,Class A
228,10.196.74.9,Internal,Class A
229,10.197.90.101,Internal,Class A
230,10.197.206.53,Internal,Class A
231,10.196.90.7,Internal,Class A
232,192.168.194.215,Internal,Class C
233,10.0.11.112,Internal,Class A
234,10.0.11.24,Internal,Class A
235,192.168.192.4,Internal,Class C
236,10.196.222.166,Internal,Class A
237,10.197.80.18,Internal,Class A
238,10.0.11.16,Internal,Class A
239,10.120.11.160,Internal,Class A
240,10.0.11.172,Internal,Class A
241,10.0.11.61,Internal,Class A
242,192.168.190.197,Internal,Class C
243,192.168.174.219,Internal,Class C
244,43.49.231.76,External,External
245,10.195.204.18,Internal,Class A
246,10.196.224.80,Internal,Class A
247,192.168.191.233,Internal,Class C
248,10.197.208.90,Internal,Class A
249,192.168.188.84,Internal,Class C
250,192.168.98.253,Internal,Class C
251,10.197.207.245,Internal,Class A
252,10.0.11.14,Internal,Class A
253,192.168.252.19,Internal,Class C
254,10.197.204.30,Internal,Class A
255,192.168.170.248,Internal,Class C
256,192.168.150.10,Internal,Class C
257,10.196.86.12,Internal,Class A
258,192.168.188.35,Internal,Class C
259,10.200.105.33,Internal,Class A
260,10.197.80.34,Internal,Class A
261,10.196.224.85,Internal,Class A
262,10.200.43.159,Internal,Class A
263,10.0.11.65,Internal,Class A
264,10.0.11.22,Internal,Class A
265,10.196.88.44,Internal,Class A
266,10.129.234.187,Internal,Class A
267,10.196.150.25,Internal,Class A
268,10.0.11.107,Internal,Class A
269,10.0.11.19,Internal,Class A
270,10.196.86.85,Internal,Class A
271,10.0.11.76,Internal,Class A
272,10.197.90.249,Internal,Class A
273,192.168.252.18,Internal,Class C
274,10.196.78.67,Internal,Class A
275,10.0.11.55,Internal,Class A
276,10.196.152.7,Internal,Class A
277,10.197.90.73,Internal,Class A
278,10.197.208.112,Internal,Class A
279,10.196.253.11,Internal,Class A
280,192.168.191.242,Internal,Class C
281,10.196.136.136,Internal,Class A
282,192.168.196.46,Internal,Class C
283,10.196.73.9,Internal,Class A
284,192.168.197.168,Internal,Class C
285,10.0.0.69,Internal,Class A
286,10.196.86.56,Internal,Class A
287,192.168.186.71,Internal,Class C
288,10.197.90.78,Internal,Class A
289,10.67.82.20,Internal,Class A
290,10.197.202.31,Internal,Class A
291,10.196.86.112,Internal,Class A
292,10.200.105.53,Internal,Class A
293,10.197.206.90,Internal,Class A
294,10.0.11.7,Internal,Class A
295,10.196.222.36,Internal,Class A
296,192.168.98.11,Internal,Class C
297,10.12.50.185,Internal,Class A
298,10.197.136.134,Internal,Class A
299,10.0.11.109,Internal,Class A
300,10.0.11.5,Internal,Class A
301,10.196.142.49,Internal,Class A
302,192.168.197.35,Internal,Class C
303,10.196.16.45,Internal,Class A
304,10.195.12.7,Internal,Class A
305,10.0.11.201,Internal,Class A
306,10.197.206.144,Internal,Class A
307,10.200.46.31,Internal,Class A
308,192.168.155.10,Internal,Class C
309,10.196.137.103,Internal,Class A
310,10.0.11.84,Internal,Class A
311,10.197.90.205,Internal,Class A
312,138.232.226.187,External,External
313,10.197.208.64,Internal,Class A
314,10.200.105.116,Internal,Class A
315,10.196.162.2,Internal,Class A
316,10.196.94.81,Internal,Class A
317,10.196.224.71,Internal,Class A
318,192.168.0.1,Internal,Class C
319,192.168.192.56,Internal,Class C
320,10.0.11.132,Internal,Class A
321,192.168.197.157,Internal,Class C
322,10.0.11.228,Internal,Class A
323,192.168.252.186,Internal,Class C
324,10.12.50.178,Internal,Class A
325,10.12.30.215,Internal,Class A
326,192.168.178.24,Internal,Class C
327,10.196.222.96,Internal,Class A
328,87.7.13.157,External,External
329,10.200.205.230,Internal,Class A
330,10.197.206.54,Internal,Class A
331,10.196.78.132,Internal,Class A
332,10.197.206.145,Internal,Class A
333,10.129.175.9,Internal,Class A
334,192.168.143.254,Internal,Class C
335,10.197.206.121,Internal,Class A
336,190.105.247.250,External,External
337,192.168.154.221,Internal,Class C
338,10.197.208.100,Internal,Class A
339,10.197.80.27,Internal,Class A
340,10.129.235.34,Internal,Class A
341,10.197.204.43,Internal,Class A
342,10.0.11.66,Internal,Class A
343,192.168.174.11,Internal,Class C
344,10.196.78.186,Internal,Class A
345,10.196.222.19,Internal,Class A
346,10.0.12.82,Internal,Class A
347,10.197.208.41,Internal,Class A
348,10.129.236.26,Internal,Class A
349,10.0.11.27,Internal,Class A
350,10.196.137.101,Internal,Class A
351,10.197.78.61,Internal,Class A
352,10.196.96.33,Internal,Class A
353,192.168.170.10,Internal,Class C
354,10.0.11.227,Internal,Class A
355,10.200.251.10,Internal,Class A
356,192.168.190.228,Internal,Class C
357,10.197.206.50,Internal,Class A
358,10.0.11.137,Internal,Class A
359,192.168.152.19,Internal,Class C
360,10.196.137.157,Internal,Class A
361,192.168.196.83,Internal,Class C
362,192.168.144.83,Internal,Class C
363,192.168.190.200,Internal,Class C
364,10.196.94.82,Internal,Class A
365,10.196.88.5,Internal,Class A
366,10.195.72.133,Internal,Class A
367,10.196.137.138,Internal,Class A
368,10.197.88.20,Internal,Class A
369,91.119.63.4,External,External
370,10.120.11.36,Internal,Class A
371,10.196.142.109,Internal,Class A
372,10.196.168.37,Internal,Class A
373,10.195.20.64,Internal,Class A
374,10.196.168.11,Internal,Class A
375,10.129.235.21,Internal,Class A
376,10.197.80.58,Internal,Class A
377,10.197.90.120,Internal,Class A
378,10.196.96.50,Internal,Class A
379,10.196.224.20,Internal,Class A
380,10.97.0.70,Internal,Class A
381,10.197.206.135,Internal,Class A
382,10.197.90.62,Internal,Class A
383,10.196.222.14,Internal,Class A
384,10.200.51.71,Internal,Class A
385,10.196.96.71,Internal,Class A
386,10.196.142.172,Internal,Class A
387,226.233.119.247,Multicast,Multicast
388,192.168.197.71,Internal,Class C
389,10.196.78.46,Internal,Class A
390,10.196.224.57,Internal,Class A
391,10.0.11.202,Internal,Class A
392,10.197.86.25,Internal,Class A
393,10.0.11.189,Internal,Class A
394,192.168.186.77,Internal,Class C
395,10.196.78.77,Internal,Class A
396,10.197.90.137,Internal,Class A
397,192.168.190.194,Internal,Class C
398,10.197.90.126,Internal,Class A
399,10.197.88.13,Internal,Class A
400,10.10.20.202,Internal,Class A
401,10.196.88.15,Internal,Class A
402,10.197.253.11,Internal,Class A
403,10.201.114.17,Internal,Class A
404,10.196.224.78,Internal,Class A
405,10.0.11.200,Internal,Class A
406,192.168.192.121,Internal,Class C
407,10.195.204.11,Internal,Class A
408,10.195.202.49,Internal,Class A
409,10.97.235.102,Internal,Class A
410,192.168.174.50,Internal,Class C
411,7.1.1.1,External,External
412,10.197.74.6,Internal,Class A
413,10.196.222.129,Internal,Class A
414,10.196.142.52,Internal,Class A
415,10.197.204.57,Internal,Class A
416,10.197.208.88,Internal,Class A
417,192.168.154.10,Internal,Class C
418,10.201.45.70,Internal,Class A
419,10.195.80.31,Internal,Class A
420,10.197.88.8,Internal,Class A
421,10.196.254.129,Internal,Class A
422,192.168.252.13,Internal,Class C
423,10.197.206.67,Internal,Class A
424,10.196.142.120,Internal,Class A
425,10.200.105.125,Internal,Class A
426,192.168.174.31,Internal,Class C
427,10.197.78.44,Internal,Class A
428,10.197.78.77,Internal,Class A
429,10.196.137.117,Internal,Class A
430,10.0.11.150,Internal,Class A
431,10.196.137.127,Internal,Class A
432,10.196.90.13,Internal,Class A
433,10.196.137.105,Internal,Class A
434,10.196.144.83,Internal,Class A
435,10.129.87.68,Internal,Class A
436,10.12.30.243,Internal,Class A
437,192.168.173.69,Internal,Class C
438,10.0.11.68,Internal,Class A
439,10.0.11.9,Internal,Class A
440,10.197.208.86,Internal,Class A
441,10.196.200.4,Internal,Class A
442,10.196.150.84,Internal,Class A
443,10.12.30.10,Internal,Class A
444,10.196.73.12,Internal,Class A
445,10.196.142.97,Internal,Class A
446,192.168.190.110,Internal,Class C
447,10.195.18.19,Internal,Class A
448,10.197.208.60,Internal,Class A
449,10.129.176.158,Internal,Class A
450,10.197.90.208,Internal,Class A
451,192.168.194.89,Internal,Class C
452,10.200.44.66,Internal,Class A
453,10.0.11.133,Internal,Class A
454,10.197.137.55,Internal,Class A
455,10.197.206.126,Internal,Class A
456,10.196.88.48,Internal,Class A
457,10.197.88.55,Internal,Class A
458,10.196.150.11,Internal,Class A
459,10.196.137.112,Internal,Class A
460,10.196.86.100,Internal,Class A
461,10.196.90.9,Internal,Class A
462,10.197.78.88,Internal,Class A
463,10.196.96.9,Internal,Class A
464,10.197.206.147,Internal,Class A
465,10.0.11.157,Internal,Class A
466,10.196.222.22,Internal,Class A
467,10.197.90.135,Internal,Class A
468,10.196.72.143,Internal,Class A
469,10.197.90.188,Internal,Class A
470,192.168.191.199,Internal,Class C
471,10.12.50.58,Internal,Class A
472,192.168.186.95,Internal,Class C
473,192.168.200.19,Internal,Class C
474,10.197.90.51,Internal,Class A
475,10.196.222.110,Internal,Class A
476,10.196.254.126,Internal,Class A
477,10.0.11.82,Internal,Class A
478,10.197.90.85,Internal,Class A
479,192.168.182.10,Internal,Class C
480,10.197.208.59,Internal,Class A
481,10.197.208.71,Internal,Class A
482,10.196.14.23,Internal,Class A
483,10.197.90.7,Internal,Class A
484,192.168.190.92,Internal,Class C
485,192.168.150.27,Internal,Class C
486,192.168.196.139,Internal,Class C
487,10.200.44.188,Internal,Class A
488,10.127.12.86,Internal,Class A
489,10.196.204.4,Internal,Class A
490,192.168.252.180,Internal,Class C
491,10.196.142.103,Internal,Class A
492,10.197.78.20,Internal,Class A
493,192.168.186.76,Internal,Class C
494,10.12.30.116,Internal,Class A
495,192.168.194.200,Internal,Class C
496,10.195.204.13,Internal,Class A
497,10.196.92.10,Internal,Class A
498,10.196.78.142,Internal,Class A
499,10.196.94.75,Internal,Class A
500,10.196.144.128,Internal,Class A
501,10.196.222.116,Internal,Class A
502,10.197.86.39,Internal,Class A
503,10.196.224.130,Internal,Class A
504,10.196.73.98,Internal,Class A
505,192.168.190.193,Internal,Class C
506,10.10.20.201,Internal,Class A
507,77.6.167.142,External,External
508,10.129.176.165,Internal,Class A
509,10.0.11.63,Internal,Class A
510,29.55.58.46,External,External
511,10.0.12.81,Internal,Class A
512,10.196.222.97,Internal,Class A
513,10.196.86.89,Internal,Class A
514,204.108.66.226,External,External
515,10.196.222.61,Internal,Class A
516,192.168.194.80,Internal,Class C
517,10.195.105.244,Internal,Class A
518,10.196.204.33,Internal,Class A
519,10.200.43.32,Internal,Class A
520,192.168.152.237,Internal,Class C
521,10.196.168.18,Internal,Class A
522,10.197.86.18,Internal,Class A
523,10.197.206.78,Internal,Class A
524,192.168.252.153,Internal,Class C
525,10.196.222.29,Internal,Class A
526,10.196.136.17,Internal,Class A
527,192.168.190.88,Internal,Class C
528,10.197.208.141,Internal,Class A
529,10.196.78.116,Internal,Class A
530,10.196.152.5,Internal,Class A
531,10.195.204.22,Internal,Class A
532,10.196.16.26,Internal,Class A
533,10.0.11.240,Internal,Class A
534,10.200.43.111,Internal,Class A
535,10.0.11.182,Internal,Class A
536,10.200.47.100,Internal,Class A
537,10.195.204.17,Internal,Class A
538,10.197.80.37,Internal,Class A
539,192.168.190.126,Internal,Class C
540,10.197.88.43,Internal,Class A
541,10.196.142.85,Internal,Class A
542,192.168.195.8,Internal,Class C
543,10.196.88.95,Internal,Class A
544,10.196.150.27,Internal,Class A
545,10.195.12.2,Internal,Class A
546,10.196.24.2,Internal,Class A
547,10.197.137.46,Internal,Class A
548,10.196.88.6,Internal,Class A
549,192.168.188.112,Internal,Class C
550,10.197.74.18,Internal,Class A
551,135.204.19.217,External,External
552,10.196.142.160,Internal,Class A
553,188.89.65.228,External,External
554,10.196.136.134,Internal,Class A
555,10.197.136.133,Internal,Class A
556,192.168.143.183,Internal,Class C
557,10.197.78.22,Internal,Class A
558,10.195.202.18,Internal,Class A
559,10.200.105.148,Internal,Class A
560,10.196.78.60,Internal,Class A
561,192.168.188.85,Internal,Class C
562,10.196.86.23,Internal,Class A
563,10.196.168.43,Internal,Class A
564,10.197.88.29,Internal,Class A
565,10.0.11.11,Internal,Class A
566,10.197.207.239,Internal,Class A
567,192.168.184.255,Internal,Class C
568,10.196.222.109,Internal,Class A
569,125.28.204.237,External,External
570,10.120.11.112,Internal,Class A
571,10.196.80.78,Internal,Class A
572,10.196.201.150,Internal,Class A
573,10.196.88.17,Internal,Class A
574,10.195.20.48,Internal,Class A
575,192.168.164.49,Internal,Class C
576,192.168.188.98,Internal,Class C
577,10.197.253.12,Internal,Class A
578,10.196.222.169,Internal,Class A
579,192.168.192.63,Internal,Class C
580,10.197.208.36,Internal,Class A
581,10.12.30.200,Internal,Class A
582,10.196.78.86,Internal,Class A
583,10.197.90.57,Internal,Class A
584,10.196.224.58,Internal,Class A
585,192.168.190.201,Internal,Class C
586,10.197.90.163,Internal,Class A
587,192.168.191.254,Internal,Class C
588,10.197.90.54,Internal,Class A
589,10.0.11.128,Internal,Class A
590,10.196.136.28,Internal,Class A
591,10.197.253.131,Internal,Class A
592,10.196.150.41,Internal,Class A
593,10.196.92.1,Internal,Class A
594,10.197.208.7,Internal,Class A
595,10.196.150.30,Internal,Class A
596,10.195.105.245,Internal,Class A
597,10.127.12.95,Internal,Class A
598,207.93.106.99,External,External
599,10.196.88.121,Internal,Class A
600,192.168.186.103,Internal,Class C
601,10.196.201.151,Internal,Class A
602,10.200.105.161,Internal,Class A
603,10.0.11.56,Internal,Class A
604,192.168.186.118,Internal,Class C
605,10.127.13.20,Internal,Class A
606,84.31.94.93,External,External
607,10.196.78.89,Internal,Class A
608,10.200.251.121,Internal,Class A
609,10.196.224.59,Internal,Class A
610,10.196.201.37,Internal,Class A
611,10.196.150.107,Internal,Class A
612,214.46.117.190,External,External
613,192.168.188.1,Internal,Class C
614,192.168.142.57,Internal,Class C
615,10.196.224.14,Internal,Class A
616,192.168.191.243,Internal,Class C
617,10.129.179.14,Internal,Class A
618,10.197.206.92,Internal,Class A
619,10.196.216.27,Internal,Class A
620,10.197.90.209,Internal,Class A
621,10.196.88.63,Internal,Class A
622,192.168.142.33,Internal,Class C
623,192.168.144.6,Internal,Class C
624,10.120.11.142,Internal,Class A
625,10.197.206.136,Internal,Class A
626,10.197.78.54,Internal,Class A
627,10.81.231.200,Internal,Class A
628,192.168.195.246,Internal,Class C
629,10.200.105.179,Internal,Class A
630,192.168.142.79,Internal,Class C
631,10.196.166.170,Internal,Class A
632,10.196.142.15,Internal,Class A
633,10.196.150.89,Internal,Class A
634,10.197.78.24,Internal,Class A
635,192.168.192.194,Internal,Class C
636,10.0.11.153,Internal,Class A
637,10.197.80.5,Internal,Class A
638,10.196.144.1,Internal,Class A
639,10.200.105.31,Internal,Class A
640,10.196.136.30,Internal,Class A
641,192.168.162.14,Internal,Class C
642,192.168.252.21,Internal,Class C
643,10.196.254.122,Internal,Class A
644,10.196.86.45,Internal,Class A
645,10.196.202.2,Internal,Class A
646,10.197.208.65,Internal,Class A
647,10.177.66.68,Internal,Class A
648,10.196.223.225,Internal,Class A
649,192.168.186.90,Internal,Class C
650,10.200.52.129,Internal,Class A
651,192.168.190.11,Internal,Class C
652,192.168.182.70,Internal,Class C
653,10.129.234.86,Internal,Class A
654,10.197.90.139,Internal,Class A
655,204.108.66.227,External,External
656,10.196.206.29,Internal,Class A
657,10.197.208.50,Internal,Class A
658,192.168.142.187,Internal,Class C
659,10.200.105.30,Internal,Class A
660,10.197.78.43,Internal,Class A
661,192.168.163.209,Internal,Class C
662,10.129.176.97,Internal,Class A
663,10.201.60.244,Internal,Class A
664,192.168.142.13,Internal,Class C
665,10.200.251.125,Internal,Class A
666,10.197.202.15,Internal,Class A
667,10.196.73.10,Internal,Class A
668,10.197.78.5,Internal,Class A
669,10.196.253.137,Internal,Class A
670,10.197.206.55,Internal,Class A
671,10.200.105.94,Internal,Class A
672,10.197.90.33,Internal,Class A
673,10.197.208.22,Internal,Class A
674,192.168.142.207,Internal,Class C
675,10.196.14.16,Internal,Class A
676,202.52.43.51,External,External
677,10.197.76.12,Internal,Class A
678,10.200.44.59,Internal,Class A
679,10.120.11.215,Internal,Class A
680,10.0.11.184,Internal,Class A
681,10.196.168.176,Internal,Class A
682,10.196.224.50,Internal,Class A
683,201.154.181.182,External,External
684,10.127.13.19,Internal,Class A
685,10.197.90.146,Internal,Class A
686,10.196.168.45,Internal,Class A
687,10.197.90.230,Internal,Class A
688,192.168.192.99,Internal,Class C
689,192.168.199.195,Internal,Class C
690,192.168.183.154,Internal,Class C
691,10.197.80.73,Internal,Class A
692,10.129.235.52,Internal,Class A
693,192.168.200.166,Internal,Class C
694,10.120.11.2,Internal,Class A
695,10.196.14.48,Internal,Class A
696,10.197.208.62,Internal,Class A
697,10.197.90.100,Internal,Class A
698,10.196.86.21,Internal,Class A
699,10.196.166.37,Internal,Class A
700,192.168.194.8,Internal,Class C
701,10.197.78.49,Internal,Class A
702,10.197.208.114,Internal,Class A
703,10.196.94.15,Internal,Class A
704,67.219.11.151,External,External
705,10.97.107.29,Internal,Class A
706,10.196.88.68,Internal,Class A
707,10.197.90.98,Internal,Class A
708,10.197.90.141,Internal,Class A
709,10.196.152.50,Internal,Class A
710,10.200.105.183,Internal,Class A
711,192.168.98.100,Internal,Class C
712,10.196.88.84,Internal,Class A
713,10.196.142.59,Internal,Class A
714,192.168.156.5,Internal,Class C
715,192.168.188.137,Internal,Class C
716,192.168.142.135,Internal,Class C
717,10.197.80.13,Internal,Class A
718,10.196.201.15,Internal,Class A
719,10.200.105.145,Internal,Class A
720,192.168.172.201,Internal,Class C
721,10.197.90.183,Internal,Class A
722,10.197.80.72,Internal,Class A
723,10.197.208.96,Internal,Class A
724,10.129.235.51,Internal,Class A
725,10.196.166.126,Internal,Class A
726,192.168.138.55,Internal,Class C
727,10.197.78.60,Internal,Class A
728,10.196.142.84,Internal,Class A
729,10.197.90.200,Internal,Class A
730,10.197.74.13,Internal,Class A
731,88.102.25.244,External,External
732,192.168.170.68,Internal,Class C
733,10.196.144.49,Internal,Class A
734,10.195.202.41,Internal,Class A
735,192.168.190.187,Internal,Class C
736,192.168.194.5,Internal,Class C
737,10.196.206.17,Internal,Class A
738,192.168.190.81,Internal,Class C
739,10.197.206.182,Internal,Class A
740,10.129.176.166,Internal,Class A
741,10.197.90.176,Internal,Class A
742,192.168.197.89,Internal,Class C
743,10.197.206.18,Internal,Class A
744,192.168.166.12,Internal,Class C
745,192.168.142.16,Internal,Class C
746,10.200.251.7,Internal,Class A
747,192.168.194.7,Internal,Class C
748,10.196.222.150,Internal,Class A
749,10.127.12.121,Internal,Class A
750,10.0.11.96,Internal,Class A
751,10.197.78.38,Internal,Class A
752,192.168.170.235,Internal,Class C
753,10.196.137.106,Internal,Class A
754,192.168.148.126,Internal,Class C
755,192.168.170.86,Internal,Class C
756,10.196.142.117,Internal,Class A
757,10.197.90.67,Internal,Class A
758,192.168.195.61,Internal,Class C
759,10.196.222.40,Internal,Class A
760,10.196.76.11,Internal,Class A
761,192.168.188.141,Internal,Class C
762,10.197.88.9,Internal,Class A
763,10.196.88.106,Internal,Class A
764,10.196.86.20,Internal,Class A
765,10.196.96.52,Internal,Class A
766,10.196.136.10,Internal,Class A
767,10.197.90.16,Internal,Class A
768,10.196.86.86,Internal,Class A
769,192.168.138.41,Internal,Class C
770,10.196.150.12,Internal,Class A
771,10.197.206.71,Internal,Class A
772,10.197.90.72,Internal,Class A
773,10.0.0.141,Internal,Class A
774,10.127.13.151,Internal,Class A
775,10.127.13.117,Internal,Class A
776,10.197.90.129,Internal,Class A
777,192.168.148.92,Internal,Class C
778,192.168.142.10,Internal,Class C
779,192.168.147.217,Internal,Class C
780,43.49.231.203,External,External
781,10.200.105.152,Internal,Class A
782,10.196.222.37,Internal,Class A
